Time,Pressure,Temperature,Position,Flow,Speed,CycleCount,Health,Fault,Vibration,Load
1,5.57,30.28,10,10.17,128.18,1,99.98,Healthy,0.25,6.73
2,5.96,30.63,20,10.47,118.51,2,99.96,Healthy,0.49,44.76
3,5.66,30.92,30,10.2,125.39,3,99.95,Healthy,0.37,23.44
4,5.74,30.84,40,10.35,121.01,4,99.94,Healthy,0.35,31.44
5,5.83,31.07,50,9.89,121.22,5,99.93,Healthy,0.46,42.62
6,5.71,31.53,60,10.38,126.79,6,99.92,Healthy,0.29,13.96
7,5.98,31.61,70,9.97,117.09,7,99.91,Healthy,0.25,46.33
8,5.87,31.7,80,9.98,118.06,8,99.9,Healthy,0.34,43.54
9,5.82,31.75,90,10.3,122.05,9,99.89,Healthy,0.53,30.56
10,5.93,31.93,100,10.32,119.86,10,99.88,Healthy,0.33,40.62
11,5.74,32.17,90,10.11,124.48,10,99.87,Healthy,0.38,21.48
12,5.73,32.04,100,9.76,121.73,11,99.86,Healthy,0.34,31.51
13,6.0,31.92,90,10.05,120.29,11,99.85,Healthy,0.29,48.74
14,5.6,31.97,100,10.04,127.37,12,99.85,Healthy,0.47,16.9
15,5.87,32.15,90,9.53,121.59,12,99.83,Healthy,0.28,30.22
16,5.84,32.07,100,10.28,120.15,13,99.83,Healthy,0.2,33.21
17,5.56,31.97,90,10.36,125.25,13,99.81,Healthy,0.39,12.42
18,5.62,32.09,100,10.18,126.56,14,99.8,Healthy,0.46,21.66
19,5.55,32.28,90,10.3,125.05,14,99.8,Healthy,0.39,12.52
20,5.67,32.11,100,10.29,128.22,15,99.8,Healthy,0.23,14.14
21,5.92,32.24,90,9.74,120.24,15,99.8,Healthy,0.45,36.57
22,5.72,32.42,100,10.17,125.41,16,99.8,Healthy,0.43,20.99
23,5.95,32.3,90,9.66,122.36,16,99.78,Healthy,0.58,38.57
24,5.64,32.41,100,9.81,127.24,17,99.77,Healthy,0.56,5.26
25,5.67,32.17,90,9.83,124.81,17,99.75,Healthy,0.37,13.9
26,5.56,32.24,100,9.99,126.72,18,99.75,Healthy,0.58,7.19
27,5.8,32.52,90,9.57,120.82,18,99.75,Healthy,0.2,29.94
28,5.65,32.5,100,9.54,125.84,19,99.74,Healthy,0.34,22.07
29,5.76,32.48,90,10.21,123.92,19,99.73,Healthy,0.58,18.1
30,5.68,32.69,100,10.42,126.85,20,99.72,Healthy,0.38,14.63
31,5.53,32.64,90,10.0,126.44,20,99.7,Healthy,0.23,10.54
32,6.0,32.69,100,9.99,119.57,21,99.69,Healthy,0.58,46.07
33,5.9,32.79,90,9.68,118.59,21,99.69,Healthy,0.56,41.27
34,5.56,32.69,100,10.46,126.24,22,99.69,Healthy,0.57,9.01
35,5.8,32.82,90,9.86,120.85,22,99.68,Healthy,0.59,38.63
36,5.85,32.92,100,10.1,121.4,23,99.67,Healthy,0.52,41.74
37,5.7,32.78,90,9.75,124.54,23,99.65,Healthy,0.56,21.01
38,5.8,32.61,100,10.36,126.21,24,99.64,Healthy,0.29,23.32
39,5.62,32.49,90,9.87,124.46,24,99.63,Healthy,0.49,21.51
40,5.88,32.6,100,9.75,122.21,25,99.63,Healthy,0.49,37.81
41,5.82,32.69,90,10.11,122.64,25,99.63,Healthy,0.2,36.82
42,5.71,32.47,100,10.02,128.84,26,99.62,Healthy,0.34,10.61
43,5.52,32.4,90,9.68,130,26,99.61,Healthy,0.52,7.11
44,5.63,32.46,100,10.45,128.92,27,99.59,Healthy,0.34,8.3
45,5.88,32.37,90,9.87,122.96,27,99.59,Healthy,0.55,34.44
46,5.7,32.36,100,9.5,123.24,28,99.57,Healthy,0.39,22.99
47,5.53,32.04,90,10.31,129.09,28,99.55,Healthy,0.28,9.68
