Time,Pressure,Temperature,Position,Flow,Speed,CycleCount,Health,Fault,Vibration,Load
1,5.76,30.11,10,9.66,125.8,1,100.0,Healthy,0.22,22.04
2,5.7,30.46,20,10.32,126.24,2,99.99,Healthy,0.4,20.56
3,5.87,30.89,30,9.88,120.91,3,99.98,Healthy,0.23,42.88
4,5.85,30.94,40,10.17,125.04,4,99.98,Healthy,0.5,25.44
5,5.72,31.24,50,10.0,126.34,5,99.98,Healthy,0.22,16.76
6,5.6,31.11,60,9.85,127.6,6,99.97,Healthy,0.57,6.59
7,5.76,31.11,70,10.14,125.33,7,99.96,Healthy,0.57,25.73
8,5.74,31.29,80,10.1,123.41,8,99.96,Healthy,0.38,31.99
9,5.67,31.51,90,9.89,124.14,9,99.95,Healthy,0.35,18.91
10,5.93,31.5,100,9.63,116.76,10,99.94,Healthy,0.31,48.71
11,5.73,31.41,90,10.09,120.85,10,99.94,Healthy,0.6,29.83
12,5.8,31.34,100,10.08,120.13,11,99.94,Healthy,0.53,32.97
13,5.89,31.72,90,10.08,121.25,11,99.93,Healthy,0.29,40.11
14,5.81,32.15,100,9.78,123.43,12,99.91,Healthy,0.47,28.07
15,5.82,32.52,90,9.62,120.09,12,99.9,Healthy,0.57,39.44
16,5.83,32.61,100,10.27,122.51,13,99.9,Healthy,0.5,23.98
17,5.96,32.63,90,10.42,120.28,13,99.88,Healthy,0.23,38.93
18,5.9,32.55,100,10.13,119.21,14,99.87,Healthy,0.48,44.52
19,5.55,32.51,90,9.75,126.68,14,99.86,Healthy,0.39,11.35
20,5.76,32.39,100,9.75,127.04,15,99.85,Healthy,0.38,18.9
21,5.9,32.18,90,9.73,119.53,15,99.83,Healthy,0.4,38.08
22,5.93,32.14,100,9.99,118.88,16,99.82,Healthy,0.37,44.3
23,5.68,31.88,90,10.08,128.16,16,99.81,Healthy,0.32,8.69
24,5.65,32.02,100,10.43,123.83,17,99.8,Healthy,0.48,22.17
25,5.67,32.06,90,10.42,126.0,17,99.78,Healthy,0.44,12.61
26,6.0,31.95,100,10.28,122.18,18,99.77,Healthy,0.52,40.67
27,5.86,32.0,90,9.83,118.54,18,99.76,Healthy,0.56,41.17
28,5.83,32.29,100,9.94,125.13,19,99.75,Healthy,0.38,22.93
29,5.63,32.65,90,9.71,126.29,19,99.75,Healthy,0.29,9.27
30,6.0,32.63,100,9.96,118.51,20,99.75,Healthy,0.37,44.1
31,5.53,32.73,90,9.74,126.77,20,99.74,Healthy,0.34,10.96
32,5.88,32.6,100,10.18,122.51,21,99.72,Healthy,0.41,27.64
33,5.65,32.58,90,10.03,124.95,21,99.71,Healthy,0.38,14.02
34,6.0,32.89,100,10.1,120.86,22,99.71,Healthy,0.51,44.07
35,5.8,32.92,90,10.48,121.39,22,99.69,Healthy,0.57,32.83
36,5.73,33.04,100,10.07,123.34,23,99.68,Healthy,0.23,31.83
37,6.0,33.05,90,9.88,118.49,23,99.67,Healthy,0.3,48.45
38,5.73,33.05,100,10.09,125.1,24,99.66,Healthy,0.5,16.24
39,5.81,32.97,90,10.36,120.64,24,99.65,Healthy,0.43,39.04
40,5.86,32.73,100,10.25,124.22,25,99.64,Healthy,0.58,26.1
41,5.88,32.76,90,9.82,124.55,25,99.63,Healthy,0.32,28.54
42,5.8,32.75,100,10.49,122.46,26,99.62,Healthy,0.52,39.3
43,5.74,32.58,90,9.98,125.79,26,99.61,Healthy,0.46,20.14
44,5.67,32.64,100,9.9,127.63,27,99.6,Healthy,0.39,6.79
45,5.68,32.61,90,10.41,124.28,27,99.59,Healthy,0.5,21.06
46,5.64,32.51,100,9.59,123.36,28,99.58,Healthy,0.59,22.99
47,5.69,32.54,90,9.52,126.92,28,99.58,Healthy,0.47,20.22
48,5.8,32.53,100,9.62,123.95,29,99.56,Healthy,0.42,21.57
49,5.67,32.59,90,9.93,126.35,29,99.54,Healthy,0.44,8.71
50,5.97,32.66,100,10.2,120.03,30,99.52,Healthy,0.41,38.05
51,5.84,32.57,90,9.75,120.9,30,99.51,Healthy,0.45,34.11
