Time,Pressure,Temperature,Position,Flow,Speed,CycleCount,Health,Fault,Vibration,Load
1,5.33,30.23,10,9.91,124.76,0,100.0,Healthy,0.34,16.76
2,5.23,30.33,20,10.26,125.61,0,100.0,Healthy,0.34,17.8
3,5.27,30.41,30,10.23,121.75,0,99.99,Healthy,0.49,19.18
4,5.29,30.52,40,9.89,120.96,0,99.99,Healthy,0.51,20.52
5,5.36,30.79,50,9.9,120.71,0,99.99,Healthy,0.42,21.01
6,5.45,30.96,60,10.12,125.14,0,99.99,Healthy,0.43,21.43
7,5.37,31.15,70,10.32,124.89,0,99.98,Healthy,0.37,22.13
8,5.31,31.24,80,9.82,121.55,0,99.98,Healthy,0.38,22.39
9,5.46,31.42,90,10.14,124.98,0,99.98,Healthy,0.52,22.63
10,5.26,31.43,100,10.31,123.78,0,99.97,Healthy,0.46,23.24
11,5.27,31.52,90,9.99,122.45,0,99.97,Healthy,0.41,23.64
12,5.48,31.56,80,9.88,124.72,0,99.97,Healthy,0.39,23.66
13,5.43,31.63,70,10.13,122.73,0,99.97,Healthy,0.52,23.48
14,5.27,31.8,60,10.19,120.25,0,99.97,Healthy,0.48,24.28
15,5.46,32.02,50,10.05,120.25,0,99.97,Healthy,0.31,24.87
16,5.33,32.07,40,10.05,120.76,0,99.96,Healthy,0.44,25.67
17,5.39,32.11,30,10.0,119.6,0,99.96,Healthy,0.45,25.54
18,5.37,32.22,20,10.19,119.64,0,99.96,Healthy,0.5,26.22
19,5.52,32.3,10,10.33,122.3,0,99.96,Healthy,0.51,26.2
20,5.43,32.37,0,9.8,121.4,1,99.96,Healthy,0.39,26.46
21,5.43,32.44,10,10.27,123.12,1,99.95,Healthy,0.52,26.67
22,5.46,32.4,20,9.71,120.04,1,99.95,Healthy,0.53,27.23
23,5.45,32.37,30,10.04,119.79,1,99.95,Healthy,0.36,26.6
24,5.5,32.39,40,10.03,123.57,1,99.95,Healthy,0.44,26.7
25,5.36,32.32,50,10.13,121.66,1,99.94,Healthy,0.49,26.7
26,5.4,32.3,60,9.85,119.67,1,99.94,Healthy,0.47,26.38
27,5.46,32.36,70,10.27,120.39,1,99.94,Healthy,0.51,26.95
28,5.35,32.59,80,10.28,122.88,1,99.94,Healthy,0.49,26.6
29,5.54,32.61,90,9.92,123.18,1,99.94,Healthy,0.44,27.1
30,5.56,32.69,100,9.82,122.48,1,99.93,Healthy,0.42,26.96
31,5.35,32.82,90,10.28,118.78,1,99.93,Healthy,0.4,27.62
32,5.39,32.93,80,10.22,119.84,1,99.93,Healthy,0.44,27.46
33,5.43,33.01,70,10.24,123.43,1,99.93,Healthy,0.35,27.76
34,5.44,32.93,60,9.94,120.65,1,99.93,Healthy,0.42,27.09
35,5.35,32.86,50,10.32,122.73,1,99.92,Healthy,0.49,27.02
36,5.33,32.76,40,9.86,123.27,1,99.92,Healthy,0.4,26.84
37,5.43,32.79,30,10.3,121.51,1,99.92,Healthy,0.31,26.24
38,5.35,32.71,20,9.82,120.11,1,99.92,Healthy,0.55,26.13
39,5.41,32.69,10,9.95,121.69,1,99.91,Healthy,0.36,25.67
40,5.4,32.53,0,9.92,122.17,2,99.91,Healthy,0.34,26.12
41,5.41,32.51,10,9.8,123.77,2,99.91,Healthy,0.35,25.61
42,5.42,32.57,20,10.34,122.36,2,99.91,Healthy,0.5,25.62
43,5.47,32.48,30,10.31,124.05,2,99.91,Healthy,0.47,26.27
44,5.42,32.6,40,10.12,121.08,2,99.91,Healthy,0.41,26.52
45,5.45,32.68,50,10.24,121.38,2,99.9,Healthy,0.38,27.09
46,5.35,32.65,60,10.28,119.3,2,99.9,Healthy,0.52,27.68
47,5.38,32.57,70,10.32,119.89,2,99.9,Healthy,0.41,27.44
48,5.49,32.45,80,10.11,120.12,2,99.89,Healthy,0.51,27.84
49,5.56,32.52,90,10.27,123.34,2,99.89,Healthy,0.55,28.38
50,5.57,32.5,100,9.88,119.74,2,99.89,Healthy,0.43,28.52
51,5.37,32.6,90,9.72,119.47,2,99.89,Healthy,0.46,28.31
52,5.37,32.76,80,9.67,120.31,2,99.88,Healthy,0.54,28.0
53,5.41,32.73,70,10.19,120.08,2,99.88,Healthy,0.53,28.14
54,5.37,32.87,60,9.91,121.98,2,99.88,Healthy,0.54,28.56
55,5.39,32.9,50,10.33,120.43,2,99.88,Healthy,0.55,27.91
56,5.36,32.82,40,10.15,120.4,2,99.88,Healthy,0.33,28.47
57,5.44,32.69,30,10.28,122.17,2,99.88,Healthy,0.5,28.92
58,5.57,32.65,20,9.73,123.13,2,99.88,Healthy,0.39,28.32
59,5.39,32.62,10,9.77,119.68,2,99.88,Healthy,0.48,28.21
60,5.38,32.63,0,9.91,119.1,3,99.88,Healthy,0.49,27.52
61,5.49,32.71,10,9.89,121.75,3,99.88,Healthy,0.44,26.85
62,5.33,32.71,20,9.95,118.88,3,99.88,Healthy,0.49,27.0
63,5.54,32.74,30,10.03,121.31,3,99.87,Healthy,0.42,27.56
64,5.31,32.79,40,10.26,123.39,3,99.87,Healthy,0.47,27.18
65,5.34,32.76,50,10.22,122.28,3,99.87,Healthy,0.49,27.64
66,5.41,32.93,60,9.66,120.04,3,99.86,Healthy,0.44,28.02
67,5.5,32.88,70,10.23,122.69,3,99.86,Healthy,0.55,28.31
68,5.52,32.81,80,9.87,122.26,3,99.86,Healthy,0.57,28.41
69,5.42,32.78,90,10.25,119.93,3,99.85,Healthy,0.45,28.66
70,5.39,32.82,100,10.09,119.65,3,99.85,Healthy,0.45,28.79
71,5.35,32.93,90,9.72,121.79,3,99.84,Healthy,0.39,28.9
72,5.51,32.93,80,9.66,122.01,3,99.84,Healthy,0.59,28.5
73,5.37,32.89,70,9.69,119.72,3,99.83,Healthy,0.35,27.84
74,5.34,33.01,60,10.09,121.91,3,99.82,Healthy,0.52,28.02
75,5.43,33.04,50,10.19,121.76,3,99.81,Healthy,0.38,27.92
76,5.41,32.93,40,9.84,121.29,3,99.8,Healthy,0.46,28.04
77,5.27,33.02,30,9.7,119.81,3,99.79,Healthy,0.39,28.28
78,5.29,32.9,20,9.79,120.46,3,99.78,Healthy,0.42,28.49
79,5.43,33.02,10,9.62,118.42,3,99.76,Healthy,0.49,28.4
80,5.25,33.02,0,9.89,119.5,4,99.75,Pressure Drop,0.39,28.9
81,5.3,32.98,10,10.27,120.9,4,99.73,Pressure Drop,0.41,30.2
82,5.52,33.03,20,9.77,119.41,4,99.72,Pressure Drop,0.61,32.55
83,5.44,33.23,30,10.07,117.97,4,99.7,Pressure Drop,0.61,34.46
84,5.32,33.33,40,9.99,117.53,4,99.69,Pressure Drop,0.66,35.84
85,5.44,33.33,50,10.16,116.44,4,99.67,Pressure Drop,0.53,36.58
86,5.37,33.49,60,9.96,116.28,4,99.65,Pressure Drop,0.58,37.19
87,5.46,33.62,70,9.77,119.34,4,99.63,Pressure Drop,0.48,37.9
88,5.36,33.64,80,10.17,114.33,4,99.61,Pressure Drop,0.71,39.23
89,5.62,33.6,90,10.22,115.09,4,99.59,Pressure Drop,0.61,39.91
90,5.61,33.66,100,9.6,117.78,4,99.57,Pressure Drop,0.65,40.53
91,5.53,33.69,90,9.93,115.42,4,99.55,Pressure Drop,0.5,41.14
92,5.52,33.71,80,9.51,116.06,4,99.52,Pressure Drop,0.61,42.48
93,5.48,33.85,70,9.95,116.99,4,99.5,Pressure Drop,0.45,42.43
94,5.72,33.83,60,10.1,114.8,4,99.47,Pressure Drop,0.51,42.98
95,5.55,33.82,50,9.6,116.73,4,99.46,Pressure Drop,0.54,43.31
96,5.75,33.79,40,10.11,115.72,4,99.43,Pressure Drop,0.55,43.88
97,5.55,34.04,30,9.48,116.34,4,99.41,Pressure Drop,0.57,43.69
98,5.46,34.17,20,9.72,114.49,4,99.38,Pressure Drop,0.68,44.55
99,5.45,34.15,10,9.83,114.67,4,99.34,Pressure Drop,0.65,44.7
100,5.45,34.37,0,9.62,112.14,5,99.32,Pressure Drop,0.56,45.24
101,5.51,34.48,10,9.79,113.22,5,99.3,Pressure Drop,0.81,44.94
102,5.44,34.49,20,9.93,112.6,5,99.26,Pressure Drop,0.69,44.69
103,5.42,34.52,30,9.84,114.44,5,99.24,Pressure Drop,0.65,44.94
