Time,RunID,Step,PlannedFault,ObservedFault,Severity,FaultStart,RiseTime,MaximumSeverity,Direction,LoadPhase,ValveEvent
1,1,0,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
2,1,1,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
3,1,2,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
4,1,3,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
5,1,4,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
6,1,5,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
7,1,6,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
8,1,7,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
9,1,8,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
10,1,9,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
11,1,10,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
12,1,11,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
13,1,12,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
14,1,13,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
15,1,14,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
16,1,15,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
17,1,16,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
18,1,17,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
19,1,18,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
20,1,19,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
21,1,20,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
22,1,21,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
23,1,22,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
24,1,23,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
25,1,24,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
26,1,25,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
27,1,26,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
28,1,27,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
29,1,28,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
30,1,29,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
31,1,30,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
32,1,31,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
33,1,32,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
34,1,33,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
35,1,34,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
36,1,35,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
37,1,36,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
38,1,37,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
39,1,38,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
40,1,39,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
41,1,40,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
42,1,41,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
43,1,42,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
44,1,43,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
45,1,44,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
46,1,45,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
47,1,46,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
48,1,47,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
49,1,48,Pressure Drop,Healthy,0.0,52,66,0.4,1,1,0
50,1,49,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
51,1,50,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
52,1,51,Pressure Drop,Healthy,0.0,52,66,0.4,-1,1,0
53,1,52,Pressure Drop,Healthy,0.0003,52,66,0.4,-1,1,0
54,1,53,Pressure Drop,Healthy,0.0011,52,66,0.4,-1,1,0
55,1,54,Pressure Drop,Healthy,0.0024,52,66,0.4,-1,1,0
