Time,Pressure,Temperature,Position,Flow,Speed,CycleCount,Health,Fault,Vibration
1,5.41,30.01,10,9.87,121.37,1,100,Healthy,0.38
2,5.67,30.07,20,10.44,120.95,2,100,Healthy,0.56
3,5.35,30.18,30,10.3,116.15,3,100,Healthy,0.34
4,5.44,30.23,40,10.32,117.58,4,100,Healthy,0.33
5,5.68,30.24,50,9.97,124.91,5,100,Healthy,0.34
6,5.2,30.26,60,10.02,117.72,6,100,Healthy,0.5
7,5.32,30.41,70,10.25,118.86,7,100,Healthy,0.44
8,5.63,30.47,80,9.82,119.77,8,100,Healthy,0.39
9,5.33,30.66,90,9.59,124.48,9,100,Healthy,0.48
10,5.38,30.82,100,9.77,115.45,10,100,Healthy,0.57
11,5.36,30.93,90,9.63,116.39,10,100,Healthy,0.6
12,5.57,31.0,80,9.66,115.98,10,100,Healthy,0.5
13,5.61,31.11,70,9.93,122.54,10,100,Healthy,0.46
14,5.56,31.24,60,9.78,117.08,10,100,Healthy,0.35
15,5.43,31.35,50,9.82,119.95,10,100,Healthy,0.4
16,5.35,31.51,40,10.22,119.5,10,100,Healthy,0.46
17,5.47,31.66,30,9.67,122.63,10,100,Healthy,0.4
18,5.27,31.71,20,9.76,123.21,10,100,Healthy,0.26
19,5.68,31.8,10,10.05,118.23,10,100,Healthy,0.25
20,5.73,31.95,0,10.35,121.93,10,100,Healthy,0.59
21,5.79,32.02,10,9.62,116.19,11,100,Healthy,0.53
22,5.66,32.21,20,10.2,120.22,12,100,Healthy,0.52
23,5.31,32.29,30,10.28,124.57,13,100,Healthy,0.46
24,5.51,32.43,40,10.2,121.11,14,100,Healthy,0.52
25,5.76,32.43,50,10.31,124.84,15,100,Healthy,0.55
26,5.38,32.47,60,9.59,118.46,16,100,Healthy,0.38
27,5.69,32.67,70,10.46,122.08,17,100,Healthy,0.51
28,5.52,32.8,80,9.54,120.94,18,100,Healthy,0.3
29,5.38,32.83,90,10.17,122.61,19,100,Healthy,0.36
30,4.95,32.96,100,9.77,99.05,20,96,Valve Sticking,3.51
31,5.17,33.07,90,9.72,91.21,20,93,Valve Sticking,2.74
32,5.78,33.71,80,9.65,110.44,20,89,Seal Wear,2.04
33,4.96,33.87,70,11.64,107.61,20,88,Air Leakage,1.09
34,5.7,35.35,60,10.41,108.84,20,85,Seal Wear,2.3
35,5.0,35.45,50,10.16,88.36,20,80,Valve Sticking,2.96
36,4.86,35.53,40,11.13,103.98,20,77,Air Leakage,1.04
37,4.79,35.58,30,11.68,100.52,20,74,Air Leakage,0.88
